Zebra ID,Image ID Number,Time UTC,Latitude,Longitude,Altitude,Image Name
1,1,2024-09-11T09:10:11.162917,-14.3022935,-42.6901806,12.02,zebra-1-img-1.jpg
1,2,2024-09-11T09:10:13.625203,-14.3022935,-42.6901806,12.02,zebra-1-img-2.jpg
1,3,2024-09-11T09:10:16.106941,-14.3022935,-42.6901806,12.01,zebra-1-img-3.jpg
1,4,2024-09-11T09:10:18.568940,-14.3022935,-42.6901806,12.0,zebra-1-img-4.jpg
1,5,2024-09-11T09:10:21.040661,-14.3022935,-42.6901806,12.0,zebra-1-img-5.jpg
2,1,2024-09-11T09:11:04.445847,-14.3022857,-42.6898638,12.0,zebra-2-img-1.jpg
2,2,2024-09-11T09:11:06.907732,-14.3022857,-42.6898638,12.0,zebra-2-img-2.jpg
2,3,2024-09-11T09:11:09.357091,-14.3022857,-42.6898638,12.0,zebra-2-img-3.jpg
2,4,2024-09-11T09:11:11.822255,-14.3022857,-42.6898638,11.99,zebra-2-img-4.jpg
2,5,2024-09-11T09:11:14.287927,-14.3022857,-42.6898638,11.99,zebra-2-img-5.jpg
3,1,2024-09-11T09:12:12.731784,-14.3021724,-42.6900611,12.0,zebra-3-img-1.jpg
3,2,2024-09-11T09:12:15.181303,-14.3021724,-42.6900611,12.0,zebra-3-img-2.jpg
3,3,2024-09-11T09:12:17.688278,-14.3021724,-42.6900611,11.99,zebra-3-img-3.jpg
3,4,2024-09-11T09:12:20.144657,-14.3021724,-42.6900611,11.99,zebra-3-img-4.jpg
3,5,2024-09-11T09:12:22.595273,-14.3021724,-42.6900611,12.0,zebra-3-img-5.jpg
4,1,2024-09-11T09:13:26.031068,-14.3019453,-42.690363,11.98,zebra-4-img-1.jpg
4,2,2024-09-11T09:13:28.543382,-14.3019453,-42.690363,11.98,zebra-4-img-2.jpg
4,3,2024-09-11T09:13:31.021294,-14.3019453,-42.690363,11.98,zebra-4-img-3.jpg
4,4,2024-09-11T09:13:33.499303,-14.3019453,-42.690363,12.02,zebra-4-img-4.jpg
4,5,2024-09-11T09:13:35.981247,-14.3019453,-42.690363,12.02,zebra-4-img-5.jpg
